"","PDGFNS2_aligned.bam"
"ENSRNOG00000056864",0
"ENSRNOG00000065938",0
"ENSRNOG00000017150",359
"ENSRNOG00000069774",0
"ENSRNOG00000057453",0
"ENSRNOG00000070032",1
"ENSRNOG00000015168",0
"ENSRNOG00000063014",61
"ENSRNOG00000022308",0
"ENSRNOG00000069196",0
"ENSRNOG00000020517",26
"ENSRNOG00000062805",0
"ENSRNOG00000057697",6
"ENSRNOG00000040448",4
"ENSRNOG00000060169",0
"ENSRNOG00000015717",171
"ENSRNOG00000015914",1929
"ENSRNOG00000068371",3
"ENSRNOG00000019141",4
"ENSRNOG00000035477",0
"ENSRNOG00000070492",0
"ENSRNOG00000067799",157
"ENSRNOG00000065673",0
"ENSRNOG00000049297",0
"ENSRNOG00000062842",0
"ENSRNOG00000016964",0
"ENSRNOG00000062738",0
"ENSRNOG00000040350",0
"ENSRNOG00000019582",686
"ENSRNOG00000055924",0
"ENSRNOG00000060840",0
"ENSRNOG00000019440",5
"ENSRNOG00000053539",0
"ENSRNOG00000064213",0
"ENSRNOG00000065361",8
"ENSRNOG00000060727",0
"ENSRNOG00000051483",0
"ENSRNOG00000036711",4
"ENSRNOG00000013149",393
"ENSRNOG00000036588",25
"ENSRNOG00000016979",0
"ENSRNOG00000019660",1
"ENSRNOG00000069238",1
"ENSRNOG00000057399",0
"ENSRNOG00000059980",0
"ENSRNOG00000067431",15
"ENSRNOG00000018048",971
"ENSRNOG00000062528",0
"ENSRNOG00000066334",1
"ENSRNOG00000010224",540
"ENSRNOG00000035506",0
"ENSRNOG00000067877",0
"ENSRNOG00000061439",0
"ENSRNOG00000051496",0
"ENSRNOG00000048582",0
"ENSRNOG00000066659",10
"ENSRNOG00000063596",33
"ENSRNOG00000068107",0
"ENSRNOG00000064996",0
"ENSRNOG00000064379",0
"ENSRNOG00000029043",681
"ENSRNOG00000017095",342
"ENSRNOG00000063176",3
"ENSRNOG00000067938",8
"ENSRNOG00000068714",0
"ENSRNOG00000067440",0
"ENSRNOG00000065650",0
"ENSRNOG00000061383",0
"ENSRNOG00000069476",0
"ENSRNOG00000018421",224
"ENSRNOG00000063080",0
"ENSRNOG00000019681",133
"ENSRNOG00000068965",0
"ENSRNOG00000035601",0
"ENSRNOG00000054609",5
"ENSRNOG00000064548",15
"ENSRNOG00000065353",0
"ENSRNOG00000070419",3
"ENSRNOG00000020202",381
"ENSRNOG00000017613",1064
"ENSRNOG00000054831",0
"ENSRNOG00000064633",0
"ENSRNOG00000055519",71
"ENSRNOG00000065513",0
"ENSRNOG00000067923",0
"ENSRNOG00000066038",0
"ENSRNOG00000070260",0
"ENSRNOG00000011234",120
"ENSRNOG00000042706",0
"ENSRNOG00000059930",0
"ENSRNOG00000015997",167
"ENSRNOG00000066146",0
"ENSRNOG00000064983",80
"ENSRNOG00000015773",0
"ENSRNOG00000055020",81
"ENSRNOG00000062071",75
"ENSRNOG00000069729",10
"ENSRNOG00000068544",0
"ENSRNOG00000066969",172
"ENSRNOG00000069401",0
"ENSRNOG00000032990",0
"ENSRNOG00000063602",5
"ENSRNOG00000014251",1591
"ENSRNOG00000046649",0
"ENSRNOG00000066794",1092
"ENSRNOG00000017214",0
"ENSRNOG00000067780",0
"ENSRNOG00000025539",3215
"ENSRNOG00000066862",566
"ENSRNOG00000012716",637
"ENSRNOG00000066116",0
"ENSRNOG00000063182",64
"ENSRNOG00000050922",45
"ENSRNOG00000047479",0
"ENSRNOG00000069497",129
"ENSRNOG00000016011",2
"ENSRNOG00000020014",157
"ENSRNOG00000070094",0
"ENSRNOG00000055082",2409
"ENSRNOG00000068838",10
"ENSRNOG00000019129",18
"ENSRNOG00000017960",446
"ENSRNOG00000056062",36
"ENSRNOG00000070653",0
"ENSRNOG00000064289",1
