"","rat_gene_id","rat_gene_symbol","LHNS1","LHNS2","LHNS3","IGFNS1","IGFNS2","IGFNS3","PDGFNS1","PDGFNS2","PDGFNS3"
"28571","ENSRNOG00000017489","Gse1",85,69,110,116,97,267,143,207,178
"28572","ENSRNOG00000012030","Wwox",110,64,66,147,58,108,84,160,144
"28573","ENSRNOG00000057072","Slc12a3",0,0,0,1,2,4,4,0,2
"28574","ENSRNOG00000011037","Irx6",0,0,0,0,0,0,0,0,0
"28575","ENSRNOG00000023830","Dnase2",189,90,125,190,105,154,229,341,285
"28576","ENSRNOG00000021517","Tmem231",428,195,192,730,350,664,482,826,640
"28577","ENSRNOG00000014461","Galns",243,156,118,366,220,472,345,621,523
"28578","ENSRNOG00000013878","Hmgxb4",404,345,339,657,371,602,486,747,670
"28579","ENSRNOG00000003443","Klf1",11,9,4,12,12,10,18,12,14
"28580","ENSRNOG00000017905","Map1lc3b",563,439,521,786,453,623,1180,1352,1373
"28581","ENSRNOG00000011533","Irx3",6,5,4,16,14,15,8,14,15
"28582","ENSRNOG00000014581","Trappc2l",81,81,81,176,120,134,123,167,187
"28583","ENSRNOG00000065750","LOC685199",0,0,0,0,0,1,0,0,0
"28584","ENSRNOG00000069589",NA,1701,1081,1130,1738,969,1874,2671,3386,3155
"28585","ENSRNOG00000003307","Gcdh",153,84,78,242,113,151,170,228,223
"28586","ENSRNOG00000018226","Zcchc14",2376,1300,1358,1976,1246,2819,2603,4286,4120
"28587","ENSRNOG00000012371","Car7",2,1,0,6,1,2,0,1,1
"28588","ENSRNOG00000017654","Emc8",228,208,295,401,228,283,246,350,313
"28589","ENSRNOG00000017575","Gins2",51,33,23,38,25,46,27,57,59
"28590","ENSRNOG00000039808","Isx",0,0,0,0,0,0,0,0,0
"28591","ENSRNOG00000017646","RGD1309651",85,28,39,143,43,172,71,30,33
"28592","ENSRNOG00000003149","Farsa",661,329,467,698,316,614,332,708,536
"28593","ENSRNOG00000014093","Tom1",1206,765,792,1457,756,1548,1037,1641,1539
"28594","ENSRNOG00000017817","Cox4i1",3276,2954,3694,5684,2683,3634,3246,5087,5451
"28595","ENSRNOG00000011901","Rrad",261,48,107,77,32,60,50,372,274
"28596","ENSRNOG00000065182",NA,0,0,0,0,0,0,0,0,0
"28597","ENSRNOG00000042179","Cfap20",517,472,493,1125,703,982,618,1132,952
"28598","ENSRNOG00000031076","AABR07042669.1",31,16,23,58,31,30,28,48,40
"28599","ENSRNOG00000060310","LOC688815",179,132,170,221,125,153,87,239,140
"28600","ENSRNOG00000023805","Polr2l-ps1",50,51,59,68,27,61,36,74,70
"28601","ENSRNOG00000033451","RGD1561919",41,21,40,50,29,33,32,45,67
"28602","ENSRNOG00000014336","Mcm5",197,80,67,61,37,88,32,103,49
"28603","ENSRNOG00000067640","Rpl26-ps3",4,2,4,3,10,1,6,4,9
"28604","ENSRNOG00000032666","LOC100909916",77,74,78,160,96,133,112,178,165
"28605","ENSRNOG00000013839","AABR07042875.1",5,0,0,3,0,0,1,3,1
"28606","ENSRNOG00000070405",NA,0,0,0,0,0,0,0,0,0
"28607","ENSRNOG00000018796","Herpud1",2948,1867,2331,4371,2689,4430,2007,3490,3000
"28608","ENSRNOG00000070064",NA,37,20,28,46,28,69,48,92,99
"28609","ENSRNOG00000003580","Ucp1",0,0,0,0,0,0,0,0,0
"28610","ENSRNOG00000018564","Nup93",258,173,224,469,258,340,180,376,323
"28611","ENSRNOG00000018268","Hhip",0,0,0,0,0,0,0,0,0
"28612","ENSRNOG00000048222","Nlrc5",13,7,7,32,15,29,54,84,86
"28613","ENSRNOG00000008319","Yju2b",227,179,206,318,151,210,175,289,247
"28614","ENSRNOG00000025791","Dync1li2",1078,753,991,1312,795,1039,1007,1611,1328
"28615","ENSRNOG00000069004","Ces1c",0,0,0,0,0,0,1,0,0
"28616","ENSRNOG00000048039","LOC679149",0,0,0,0,0,0,1,0,0
