rat_gene_id,rat_gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000020318,Pnkp,222.721932914967,0.768747249205228,0.236899059307291,3.24504137523001,0.00117433559474962,0.0055770735053086
ENSRNOG00000047406,Cfap90,0,NA,NA,NA,NA,NA
ENSRNOG00000070104,NA,23.5471941669951,0.0582230035475616,0.427271315872101,0.136267054175455,0.891610167862747,0.938606337192457
ENSRNOG00000050445,Gde1,1871.19016352089,0.0987558930777942,0.113609467368177,0.869257601197563,0.384706247897087,0.561009982923398
ENSRNOG00000069614,LOC120100327,0,NA,NA,NA,NA,NA
ENSRNOG00000069896,Rnu6-968,1.08310211444358,2.9093629084084,1.80244562289107,1.61411965579404,0.106501474685402,NA
ENSRNOG00000035565,Mir330,0,NA,NA,NA,NA,NA
ENSRNOG00000031110,Or51f4,0,NA,NA,NA,NA,NA
ENSRNOG00000058224,RNaseP_nuc,0,NA,NA,NA,NA,NA
ENSRNOG00000067930,NA,0.749163559515026,0,2.64054228426072,0,1,NA
ENSRNOG00000016597,AABR07006081.1,48.0706908039945,0.999621310833185,0.304804644613517,3.2795475019768,0.00103973704743889,0.0050237103317752
ENSRNOG00000064367,LOC120100237,0,NA,NA,NA,NA,NA
ENSRNOG00000064092,LOC120100155,0,NA,NA,NA,NA,NA
ENSRNOG00000067132,Mir344i,0,NA,NA,NA,NA,NA
ENSRNOG00000068454,LOC120100121,0,NA,NA,NA,NA,NA
ENSRNOG00000018953,Cblc,0.149476270187827,0,4.08045587181216,0,1,NA
ENSRNOG00000069628,NA,4.90098514001552,0.462149518362769,0.888543136815897,0.520120519999611,0.602979577091253,0.746338028451039
ENSRNOG00000062564,LOC120098765,113.558318178035,1.2389241978774,0.216324966911879,5.7271438223868,1.02135576808019e-08,1.50748930546645e-07
ENSRNOG00000065292,NA,0.566473420021072,0,2.84104252757289,0,1,NA
ENSRNOG00000018940,Slc28a1,5.12320177077458,2.49667644558768,0.959019169287784,2.60336448482238,0.00923137543336942,0.0321215764787688
ENSRNOG00000068976,NA,8.5750445791721,0.171652882821682,0.682370672535517,0.251553722530108,0.801386032517132,0.883399853219867
ENSRNOG00000013945,Itpkc,203.064298643972,0.296099353310859,0.232917922650414,1.27126049357427,0.203635991970907,0.360402346126058
ENSRNOG00000068368,LOC120100464,0,NA,NA,NA,NA,NA
ENSRNOG00000070203,LOC120100293,0,NA,NA,NA,NA,NA
ENSRNOG00000065397,Rnu6-856,3.17450223905016,1.25125617116147,1.21287050310441,1.03164861208085,0.302236758733306,0.476704774165271
ENSRNOG00000040447,Mir708,0,NA,NA,NA,NA,NA
ENSRNOG00000033706,Klk14,0,NA,NA,NA,NA,NA
ENSRNOG00000031947,Rpl36l3,4024.72289005353,-0.0255882683618416,0.143095057386841,-0.178820071280776,0.858078984699519,0.919434436285223
ENSRNOG00000016565,Zfp524,345.819065449261,0.0149745856788673,0.171516509329082,0.0873069638453063,0.930427518812042,0.961162894130312
ENSRNOG00000066104,NA,1.39085108172298,1.76964893423663,2.27578770682911,0.777598424020976,0.436805790408662,NA
ENSRNOG00000066508,NA,0.344201337214218,0.276380181513446,3.31082497122558,0.0834777386045683,0.933471677620893,NA
ENSRNOG00000061455,Or5b116b,0,NA,NA,NA,NA,NA
ENSRNOG00000019138,Clec11a,464.937646108984,0.584725521729458,0.224980135173305,2.5990095582396,0.00934931699653944,0.0324455340476858
ENSRNOG00000015424,Or51f2,0,NA,NA,NA,NA,NA
ENSRNOG00000013198,Or9q2,0,NA,NA,NA,NA,NA
ENSRNOG00000056351,LOC120100209,0.0913450697469773,0,4.08045587181216,0,1,NA
ENSRNOG00000065052,LOC120100259,0,NA,NA,NA,NA,NA
ENSRNOG00000035572,Mir125a,0.877638847932767,-1.77766149480906,2.76977262500656,-0.641807734959777,0.520998026779987,NA
ENSRNOG00000069359,NA,0.437250896936566,-2.53487403347179,3.05473260865574,-0.829818631682881,0.40664133501914,NA
ENSRNOG00000069866,LOC120100411,0.188619829638904,-0.685378495608465,4.08045587181216,-0.167966157983246,0.866609902800744,NA
ENSRNOG00000068014,NA,5.96214558276997,0.879369178001401,0.866473476941544,1.01488297265068,0.310161615750754,0.485467780085723
ENSRNOG00000065728,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000065649,Zfp94,80.2631147124195,0.231248120772779,0.218898441250224,1.0564173936188,0.290777562829696,0.464204272232569
ENSRNOG00000066961,NA,2.58261816219064,-0.238443155972904,1.31362462225536,-0.181515443554584,0.855963012292225,0.917961320966768
ENSRNOG00000068275,LOC120100277,0,NA,NA,NA,NA,NA
ENSRNOG00000053559,Or5b123b,0,NA,NA,NA,NA,NA
ENSRNOG00000035553,Mir202,0,NA,NA,NA,NA,NA
ENSRNOG00000056667,LOC120100450,0,NA,NA,NA,NA,NA
ENSRNOG00000064785,LOC120100409,0.496914329186225,-0.685395320426509,3.11905758102241,-0.21974436271928,0.826070252536022,NA
ENSRNOG00000050663,Or51h5,0,NA,NA,NA,NA,NA
ENSRNOG00000064423,4930488N24Rikl,0.0848307401514625,0,4.08045587181216,0,1,NA
ENSRNOG00000063455,NA,0,NA,NA,NA,NA,NA
ENSRNOG00000016574,Fiz1,555.99016687253,-0.417399851022331,0.128726945903852,-3.24252119936172,0.0011847713364321,0.0056184961786138
ENSRNOG00000055971,AABR07000544.1,2.07730913829956,-0.358796264775477,1.44068099829264,-0.249046294912398,0.803324971153557,0.88488272371776
ENSRNOG00000068157,LOC120100324,0,NA,NA,NA,NA,NA
ENSRNOG00000032137,Foxb2,0,NA,NA,NA,NA,NA
ENSRNOG00000050364,Mir3569,0,NA,NA,NA,NA,NA
